participant_id	ant_corr	ant_incorr	ant_RT	alerting-code	cued-code	congruency-code
sub-pp001	1.0	0.0	447.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	277.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	514.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	397.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	444.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	546.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	467.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	403.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	408.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	398.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	382.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	454.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	355.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	665.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	416.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	511.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	502.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	602.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	383.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	382.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	567.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	505.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	535.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	465.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	431.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	405.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	401.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	423.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	408.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	426.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	419.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	412.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	449.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	695.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	409.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	327.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	511.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	511.0	0.0	2.0	0.0
